#;status_id;screen_name;created_at;text;location;lang;hashtag;clasificacion;Si/No
1;1,48E+18;AdansBermeo;4/1/2022 21:01;"Como me hierve la sangre cuando alguien se refiere a las personas del campo como ""esa gentecita"", y como para completarla dice ""los indios"". <U+0001F92C><U+0001F92C><U+0001F92C>

No pues los sangre azules";Cuenca;es;indios;racismo;no
2;1,48E+18;aevl22;28/12/2021 18:42;@DCuencaOficial De los cuervos negros salvajes de nuevo Toledo al cuenca <U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923> https://t.co/EaejNwNpNc;Guayaquil,Ecuador;es;negros;racismo;no
3;1,48E+18;Alexdepresiv0;3/1/2022 16:25;@CoqueTermo loco la playa es la mas cagada mas grande del mundo, la sierra seria lo mejor del paÌs si no fueran por los longos;Guayaquil, Ecuador;es;longos;racismo;si
4;1,48E+18;aliorrala18;6/1/2022 1:08;yo tengo par de aÒos aprendiendo y aplicando el minimalismo, pero no puedo con esas manes onda un par de zapatos negros, no podrÌa, necesito, vivo por el color, en la ropa y en el maquillje trato de comprar lo q necesito pero no podria reducirme a una sola cosa;Guayaquil - Ecuador;es;negros;racismo;no
5;1,48E+18;AlTeBaCa79;4/1/2022 16:28; @josexitop07 Longo tu crees que a nosotros no ofendes con decirnos monos? No nos ofendes. Si vas al Per˙ a todos los ecuatorianos nos dicen asÌ. En cambio uds si se ofenden por longos y hediondos. Ya recogiste las papas?;Vinces, Ecuador;es;longos;racismo;si
6;1,48E+18;AlTeBaCa79;4/1/2022 0:04;@josexitop07 @GeovannySnche10 MÌrale la pantaloneta a ese delincuente. La droga lo que lleva hacer a estos longos. https://t.co/SCPL3NWj7m;Vinces, Ecuador;es;longos;racismo;si
7;1,48E+18;AlTeBaCa79;29/12/2021 16:32;@andruchys @LDU_Oficial Longos bocones. Eso les pasÛ factura.;Vinces, Ecuador;es;longos;racismo;si
8;1,48E+18;AlTeBaCa79;1/1/2022 18:29;@GeovannySnche10 Mira jajajajaj esos cromos longos como vos. El once caldas de ponceano jajajajajaja. Mendigos del f˙tbol. https://t.co/suuN6crE4G;Vinces, Ecuador;es;longos;racismo;si
9;1,48E+18;amarillo_x100pr;3/1/2022 12:43;@MissLonely_18 Ojitos negros que EnamNonada<U+0001F92A>;Guayaquil, Ecuador;es;negros;racismo;no
10;1,48E+18;anabanana042;3/1/2022 23:20;"Mi alumno: Profe, le tengo una pregunta.
Yo: Dime Pedro
Mi alumno: øA ud que le gusta m·s, Chayanne o Luis Miguel?
Yo: Chayanne, me gustan m·s los morenos.
Mi alumno: °Vaya! Mejor que me dice le buscarÈ un novio moreno. 
Yo: <U+0001F611><U+0001F611>";Cuenca,Ecuador;es;morenos;racismo;si
