ID Tweet;Usuario;Fecha;Texto;Hashtag;Clasificaci�n;Resultado
1478845370759360000;ildedoenlallaga;2022-01-05 21:46:26+00:00;@Danielsalcan88 Me recuerdo el 2009. El Ministro de Energía solicitó barcazas xq venía un mal invierno. El Ministro… https://t.co/GfN5rnlGO4;apagones;Electricidad;No
1478824610258980000;CiudadanoComunx;2022-01-05 20:23:56+00:00;@JCPC_89 No quiero que usted olvide que el abogado Ramiro García se lo conoce como una persona que es dado a la beb… https://t.co/sI58bHD6oV;apagones;Electricidad;No
1478038153877400000;LomasBosquegye;2022-01-03 16:18:51+00:00;Cortes de energía eléctrica el 31, 1 y 2 de enero. Hoy, 3 de enero, hemos tenido 3 apagones y se restablece a modo… https://t.co/8i7uNQ8E0U;apagones;Electricidad;Si
1477740528166910000;RevEcuador;2022-01-02 20:36:11+00:00;@pamg70 @_SuExcelencia Todas esas obras, especialmente los hospitales han servido para salvar miles de vidas, las c… https://t.co/NcxHfUNL1W;apagones;Electricidad;No
1477338431470640000;lic_cmartin;2022-01-01 17:58:24+00:00;@Literario26 @Fer_Luftwaffe El viejo truco de los neoliberales, se acuerdan de Febres y los apagones? Ahí trajeron… https://t.co/X7NuvLzXov;apagones;Electricidad;No
1477291836817480000;kmaperiodista;2022-01-01 14:53:15+00:00;@malenaprensa Ocurrió lo mismo en Quinindé. Hubo dos apagones seguidos al iniciar el 2022;apagones;Electricidad;Si
1476679929454540000;somosbarcelonaa;2021-12-30 22:21:45+00:00;@CarlosGalvez21 Los apagones dudosos.  @CarlosGalvez21 https://t.co/Nue7kPWOQw;apagones;Electricidad;No
1476670803752140000;CarlosGalvez21;2021-12-30 21:45:29+00:00;Que no les apaguen la luz jamás, vea llévelo por si hay de esos apagones dudosos… https://t.co/71JtnbiJAl;apagones;Electricidad;No
1476158313075200000;jiruizo87;2021-12-29 11:49:02+00:00;@servicioscnelep @CNEL_EP señores otra vez con los apagones ya van 2 seguidas en menos de 10min..! Uds se responsab… https://t.co/rGBv0r93jS;apagones;Electricidad;Si
1475855563783380000;GelitzaRobles;2021-12-28 15:46:01+00:00;El problema no son los entrevistados. Los periodistas los escogemos en función del tema a abordar. No podemos invit… https://t.co/Bcz0QsIMt7;apagones;Electricidad;No
1478875534633450000;RevEcuador;2022-01-05 23:46:18+00:00;@juanmarpaz Yo tampoco veo nada de esos canales basura;basura;Recolecci�n de basura;No
1478872037565380000;LFervii;2022-01-05 23:32:24+00:00;6. Parasite, 2019La única ganadora a mejor película en esa basura de premiaciones que son los Oscar que se merece… https://t.co/TVeYBY3ytj;basura;Recolecci�n de basura;No
1478861205615880000;JEHS200;2022-01-05 22:49:21+00:00;@Cruzcharlieb Ella disfruta y ustedes berrean. La basura boten al tacho;basura;Recolecci�n de basura;No
1478858154230350000;PabloHurtadoG;2022-01-05 22:37:14+00:00;Los periodistas vendidos son una BASURA y de seguro son gente mala. https://t.co/hEI02vriqK;basura;Recolecci�n de basura;No
1478851648877440000;marcos77fernan1;2022-01-05 22:11:23+00:00;@edgarmontesde17 @EcuavisaInforma Jajajajaja el  gobierno hizo un realite show con este tema y después gritaban ate… https://t.co/1NpXsZ2mKl;basura;Recolecci�n de basura;No
1478850510945930000;marcos77fernan1;2022-01-05 22:06:52+00:00;@EcuavisaInforma Basura!!!?? cuando la pusieron hasta cadena nacional .....un realite show  son;basura;Recolecci�n de basura;No
1478846668787400000;carlostR_;2022-01-05 21:51:36+00:00;Todos merecen una mejor vida y a esos HDP que los maltratan son la peor basura del mundo https://t.co/3wsZcMWS9Y;basura;Recolecci�n de basura;No
1478845948801510000;xaviandrade23;2022-01-05 21:48:44+00:00;@luisantonio_r Malditos buseteros.. Son una lacra. Una basura (la mayoría);basura;Recolecci�n de basura;No
1478833644143780000;rikigquil;2022-01-05 20:59:50+00:00;@LassoGuillermo Perriodistas = basura;basura;Recolecci�n de basura;No
1478828881079590000;perezacecilia;2022-01-05 20:40:55+00:00;@LeonidasIzaSal1 Cada día comprobamos que la justicia aún no está completada, muy pronto se acabará la destrucción… https://t.co/sBacd96hwk;basura;Recolecci�n de basura;No
