#;status_id;screen_name;created_at;text;location;lang;hashtag;servicio;FALLA
1;1,47E+18;23Promesa;23/12/2021 0:20;Sres @interagua sector 24 y bolivia podrían informar hast q hora vamos estar sin agua;guayaquil;es;sin agua;Agua;Si
2;1,47E+18;AdriMateoB;23/12/2021 2:57;@interagua sin agua desde las 4 pm sector Gomez y la 34 todo el sector;Guayaquil- Ecuador ;es;sin agua;Agua;Si
3;1,47E+18;albertovelizv;22/12/2021 22:50;@interagua buenas sector barrio lindo sin agua que algún corte de impreviso daño de tubería o...... Su ayuda a qhirs se restableceria;Guayaquil ;es;sin agua;Agua;Si
4;1,48E+18;albertovelizv;30/12/2021 0:34;@interagua Otra vez sin agua sector barrio lindo está programado hasta cuándo informen en los medios por favor;Guayaquil ;es;Interagua;Agua;Si
5;1,48E+18;albertovelizv;30/12/2021 0:34;@interagua Otra vez sin agua sector barrio lindo está programado hasta cuándo informen en los medios por favor;Guayaquil ;es;sin agua;Agua;Si
6;1,47E+18;alciditosrc;24/12/2021 18:52;@interagua se la rifaron hptas, justo hoy sin agua y sin previo aviso... gracias x tan pésimo servicio;Guayaquil, Ecuador;es;sin agua;Agua;Si
7;1,48E+18;alex_gui24;28/12/2021 14:45;@vekale75 Fácil se robaron la plata de Durán para el agua potable;Guayaquil, Ecuador;es;agua potable;Agua;Si
8;1,48E+18;ana760431;29/12/2021 9:16;@AguaEc @Presidencia_Ec @Vice_Ec @ComunicacionEc @PlanificacionEc @PublicosEC @PublicaFM @EcuavisaInforma @unicefecuador @Ambiente_Ec Esmeraldas  parada 11 y sucre sin agua hay familias  que no tienen sisternas son 10 miembros  y apenas 2 tanques  y dejan 3 dias sin agua;Guayaquil ;es;sin agua;Agua;Si
9;1,48E+18;ana760431;29/12/2021 9:19;@AguaEc @Presidencia_Ec @Vice_Ec @ComunicacionEc @PlanificacionEc @PublicosEC @PublicaFM @EcuavisaInforma @unicefecuador @Ambiente_Ec Hay familias  de 10 miembros  apenas tienen 2 tanques en la parada 11 y Sucre  esmeraldas  sin agua;Guayaquil ;es;sin agua;Agua;Si
10;1,47E+18;ana760431;24/12/2021 8:36;@AlcaldiaEsme @GoberEsmeraldas @LassoGuillermo @Presidencia_Ec Tristeza todas las provincias entienden el agua es vital menos esmeraldas  parada 11 sin agua fiestas familiares yo huyó  es mi oportunidad;Guayaquil ;es;sin agua;Agua;Si
11;1,48E+18;ana760431;26/12/2021 13:37;@EPEEMAPAA Que Navidad  sin agua parada 11 y Sucre esmeraldas;Guayaquil ;es;sin agua;Agua;Si
12;1,48E+18;ana760431;29/12/2021 9:14;@LassoGuillermo En esmeraldas  la parada 11 y Sucre sin agua los ancianos  y niños no tienen el.liquido vital;Guayaquil ;es;sin agua;Agua;Si
13;1,48E+18;ana760431;27/12/2021 12:27;@LuciaSosaR Señora  con todo el respeto  Navidad sin agua en la parada 11 y sucre hay ancianos  y niños usted obtuvo  el voto de mi familia no desfraude ese aprecio y cariño de los esmeraldeños Dios la bendiga  pero a la parada 11 y sucre atiendale con un poco de agua;Guayaquil ;es;sin agua;Agua;Si
14;1,47E+18;andycito32;23/12/2021 2:48;@interagua Hasta q hora seguimos sin agua;Guayaquil;es;sin agua;Agua;Si
15;1,47E+18;andycito32;23/12/2021 2:51;@interagua todo suburbio sigue sin agua... Hasta cuándo tenemos que esperar....;Guayaquil;es;sin agua;Agua;Si
16;1,47E+18;asce_espol;23/12/2021 2:38;"<U+0001F4CC>Se realizó la visita técnica a la obra de ""Reconstrucción del colector de aguas servidas, aguas lluvias, agua potable y rehabilitación de la avenida Amazonas"" en Chone-Manabí. <U+0001F477><U+200D><U+2642><U+FE0F><U+0001F477><U+200D><U+2640><U+FE0F>

Agradecemos a todos los asistentes. <U+0001F4AF><U+0001F64C> https://t.co/gWLmWLtoUg";Guayaquil, Ecuador;es;agua potable;Agua;No
17;1,47E+18;asce_espol;23/12/2021 2:38;"<U+0001F4CC>Se realizó la visita técnica a la obra de ""Reconstrucción del colector de aguas servidas, aguas lluvias, agua potable y rehabilitación de la avenida Amazonas"" en Chone-Manabí. <U+0001F477><U+200D><U+2642><U+FE0F><U+0001F477><U+200D><U+2640><U+FE0F>

Agradecemos a todos los asistentes. <U+0001F4AF><U+0001F64C> https://t.co/gWLmWLtoUg";Guayaquil, Ecuador;es;aguas servidas;Agua;No
18;1,48E+18;ATM_Transito;29/12/2021 15:09;"#ATMinforma | Con #Cámaras360ATM se visualiza el cierre parcial de un carril por trabajos de @interagua
 en la Av. Domingo Comín y Ernesto Albán.
 
#PorTuSeguridad Tome sus precauciones al conducir y respete los límites de velocidad. https://t.co/4Rov6eDvrD";Guayaquil, Ecuador;es;Interagua;Agua;No
19;1,48E+18;ATM_Transito;29/12/2021 16:29;"@interagua #ATMinforma | Finalizaron los trabajos de @interagua
en la Av. Domingo Comín y Ernesto Albán.

Conduzca siempre con atención, respetando las señales de tránsito.";Guayaquil, Ecuador;es;Interagua;Agua;No
20;1,47E+18;AXLPIN;23/12/2021 13:25;@interagua Buenos días algún nuevo reporte sobre los trabajos en la 31 y Oriente ya tenemos 18 horas sin el servicio @CynthiaViteri6 con nuevos rebrotes de Covid no se puede tener a la ciudadanía sin agua por favor;Guayaquil;es;sin agua;Agua;Si
21;1,47E+18;azumg;25/12/2021 6:08;"Eres tinta indeleble como un acertijo 
Como un punto fijo que no tiene sufijo 
Noche sin luna que no tiene estrella, 
Rio sin agua como viento sin aire 
El mar sin las olas como un cuento sin hada 
Parque sin niños eres tú sin mi cariño 
Y estoy amándote<U+0001F3B6>";Guayaquil - Ecuador;es;sin agua;Agua;No
22;1,48E+18;BalsecaLaura;30/12/2021 21:10;@EMAPAD_EP @DuranGad @daltonarvaez Por favor la Cdla. Primavera 2 no ha tenido servicio se agua potable está semana, necesitamos la colaboración de las autoridades para que podamos contar con el líquido vital... URGENTE!!!;;es;agua potable;Agua;Si
23;1,48E+18;BalsecaLaura;30/12/2021 21:12;@EMAPAD_EP La Primavera 2 no cuenta con el servicio de agua potable, nos encontramos desabastecidos. Por favor solucionar de manera Urgente!!!;;es;agua potable;Agua;Si
24;1,48E+18;CevallosMary;30/12/2021 16:32;@interagua En La coop Pancho Jacome tenemos presión baja. Teníamos algún corte programado?;Guayaquil - Ecuador;es;Interagua;Agua;Si
25;1,48E+18;CevallosMary;30/12/2021 17:04;@interagua Ya para estos momentos no tenemos agua. Porque cortan el servicio sin notificar como corresponde;Guayaquil - Ecuador;es;Interagua;Agua;Si
26;1,48E+18;Chicho0079;30/12/2021 4:06;@locodecontent0 @interagua Jajajaa la última del año;Guayaquil-Ecuador;es;Interagua;Agua;No
27;1,48E+18;Chicho0079;30/12/2021 0:26;"Impresionante señores de @interagua nuevamente SIN AGUA ni una notificación, ni nada! 
Viven arreglando y se vive dañando, uds y sus daños EMERGENTES son una <U+0001F92C>";Guayaquil-Ecuador;es;Interagua;Agua;Si
28;1,48E+18;Chicho0079;30/12/2021 0:26;"Impresionante señores de @interagua nuevamente SIN AGUA ni una notificación, ni nada! 
Viven arreglando y se vive dañando, uds y sus daños EMERGENTES son una <U+0001F92C>";Guayaquil-Ecuador;es;sin agua;Agua;Si
29;1,47E+18;ChristianRuiz21;23/12/2021 14:16;@interagua 9:16 sin agua;Guayaquil-Ecuador;es;sin agua;Agua;Si
30;1,47E+18;Cresatelitalecu;22/12/2021 20:19;"#LaNoticiaDeLaHora con @andresgranda99

#Contraloría busca irregularidades en contrato de agua potable para #Durán

#CRESatelital #TusOjosEnLasNoticias https://t.co/Mt8StfwQ4C";Guayaquil, Ecuador;es;agua potable;Agua;No
31;1,47E+18;DanAlRoj;22/12/2021 1:55;No se cansan de dejar a Guayaquil sin agua. Hasta cuando? Es lo mismo de todos los años @alcaldiagye @CynthiaViteri6 https://t.co/S374DcJhTo;Guayaquil, Ecuador;es;sin agua;Agua;Si
32;1,47E+18;DavidBF27;23/12/2021 10:04;@interagua Miserables uno tiene que trabajar y desde ayer sin agua;guayaquil;es;sin agua;Agua;Si
33;1,47E+18;denisse_maji;23/12/2021 12:56;@interagua Que irresponsabilidad de ud. Que dejen todo el sur oeste sin agua desde ayer miércoles y no informen nada, recuerden que las mayoría de familia que vivimos en este sector no contamos con sisternas para poder cubrir todas estas horas de corte, informen;Guayaquil, Ecuador;es;sin agua;Agua;Si
34;1,48E+18;DianaLp02645592;27/12/2021 23:59;@interagua hace más de doa horas sin agua y sin avisar! Seamos serios esto ya parece chiste. Y lo peor es escribir por Interno y que la máquina diga que sigue aprendiendo. @ayudamehenry;Guayaquil, Ecuador;es;sin agua;Agua;Si
35;1,47E+18;diani_3181;22/12/2021 21:04;@interagua @jflores522 Favor enviar al personal lo más pronto posible, el olor de estas aguas servidas esta insoportable;Guayaquil;es;aguas servidas;Agua;Si
36;1,48E+18;donytu47;30/12/2021 21:32;"@interagua 21 dic solicité servicio hidrocleaner. OT 39444362 y 39444398. 23 dic trabajo incompleto problema subsiste. Cajas rebozadas. ¿Cámara saturada? ¡¡URGENTE!!
Ctas 70499 y 70500. https://t.co/SJes7mHmRW";Guayaquil~Ecuador;es;Interagua;Agua;Si
37;1,47E+18;DraWinadeina;24/12/2021 17:41;@interagua buenas tardes, nos dejan sin agua sin previo aviso, en festividad como puede ser posible. En la Juan Montalvo km 8 1/2 vía a daule;Guayaquil;es;sin agua;Agua;Si
38;1,48E+18;DrCristianMV;30/12/2021 0:27;@pochoharbEC @CarlosVerareal El contexto Pocho, no compare agua potable con la de charco.;Guayaquil ;es;agua potable;Agua;No
39;1,47E+18;Eduardo43872442;23/12/2021 11:21;@interagua Y el resto de la ciudadanía que coma verga sin agua son unos hijosdeputa delincuentes el agua es vital y lo quitan sin más ni más pésima gestión.;Sur de Gye;es;sin agua;Agua;Si
40;1,48E+18;emapagye;30/12/2021 2:27;@JavierMomtoya @interagua Estimado @JavierMomtoya, gracias por su reporte. Para atender su requerimiento ponemos a su disposición nuestra línea directa 1800 003 003, desde celular 113 y WhatsApp 0987472917. Saludos.;;es;Interagua;Agua;No
41;1,48E+18;emapagye;27/12/2021 20:19;@YTALORUIZ @interagua Estimado @YTALORUIZ, gracias por su reporte. Para novedades en su servicio de agua potable, alcantarillado o facturación, puede contactarnos a través de nuestro WhatsApp 0987472917 o a la línea directa 1800 003 003, y desde celular 113. Saludos.;;es;agua potable;Agua;No
42;1,48E+18;emapagye;27/12/2021 17:03;Cumplir con las metas de una planificación estratégica, que contempla soluciones integrales en los sistemas de agua potable, alcantarillado sanitario y pluvial, para la sostenibilidad de los servicios, es lo que ha motivado estos nueve años de trabajo continuo de EMAPAG. https://t.co/DKAd6JfPta;;es;agua potable;Agua;No
43;1,47E+18;emapagye;22/12/2021 16:40;El Ministerio del Ambiente, Agua y Transición Ecológica, representada por Ing. Isabel Tamaríz, procedió el día de hoy a entregar a la Empresa Municipal de Agua Potable y Alcantarillado de Guayaquil, EMAPAG EP, representada por la Ing. Martha Orta, https://t.co/YhElVWbt2V;;es;agua potable;Agua;No
